BN	TN	seqType	Horizon	FT	PrepTime	press0	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	press12	press13	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	response12	response13	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	pressTime12	pressTime13	timeThreshold2	timeThreshold3	timeThreshold4	timeThreshold14	points	Gain1	Gain2	Gain3	Gain4	Gain5	StimTimeLim	
1	1	1	8	1	3000	2	4	3	1	5	2	3	5	1	4	1	3	2	4	24315235141324	0	5000	4936.000	548.000	1	2	3	3	1	5	2	3	5	1	4	2	3	2	4	5552.000	5992.000	6876.000	7164.000	7464.000	7750.000	8006.000	8280.000	8570.000	8810.000	9154.000	9532.000	10080.000	10372.000	800.000	1100.000	1500.000	6000.000	0	1.000	1.000	1.000	1.000	1.000	15000	
1	2	1	4	1	3000	3	2	5	4	1	3	5	4	2	1	4	1	5	2	32541354214152	0	5000	4304.000	580.000	0	3	2	5	4	1	3	5	4	2	1	4	1	5	2	5584.000	5872.000	6172.000	6456.000	6766.000	7080.000	7374.000	7658.000	8140.000	8458.000	8826.000	9170.000	9462.000	9784.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	3	1	6	1	3000	1	4	3	5	2	1	3	2	5	4	1	3	2	4	14352132541324	0	5000	3834.000	558.000	0	1	4	3	5	2	1	3	2	5	4	1	3	2	4	5562.000	5824.000	6126.000	6422.000	6706.000	6948.000	7232.000	7540.000	7888.000	8170.000	8460.000	8710.000	9002.000	9300.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	4	1	3	1	3000	2	4	1	5	3	1	3	5	4	2	1	4	3	5	24153135421435	0	5000	3940.000	718.000	0	2	4	1	5	3	1	3	5	4	2	1	4	3	5	5722.000	5990.000	6264.000	6522.000	6916.000	7240.000	7514.000	7812.000	8052.000	8492.000	8808.000	9070.000	9330.000	9578.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	5	1	2	1	3000	3	5	2	1	4	1	4	5	2	3	5	4	2	3	35214145235423	0	5000	5370.000	562.000	0	3	5	2	1	4	1	4	5	2	3	5	4	2	3	5566.000	5846.000	6294.000	6616.000	6888.000	7350.000	7624.000	8416.000	9088.000	9370.000	9668.000	10116.000	10544.000	10834.000	800.000	1100.000	1500.000	6000.000	2	1.000	1.000	1.000	1.000	1.000	15000	
1	6	1	5	1	3000	5	4	2	3	1	3	2	4	1	5	1	2	4	3	54231324151243	0	5000	3954.000	550.000	0	5	4	2	3	1	3	2	4	1	5	1	2	4	3	5554.000	6276.000	6636.000	6916.000	7234.000	7510.000	7766.000	8022.000	8286.000	8516.000	8764.000	8978.000	9242.000	9404.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	7	1	7	1	3000	1	3	5	2	4	2	5	4	1	3	1	5	3	2	13524254131532	0	5000	3754.000	566.000	0	1	3	5	2	4	2	5	4	1	3	1	5	3	2	5570.000	5792.000	6040.000	6262.000	6988.000	7258.000	7500.000	7744.000	8010.000	8230.000	8472.000	8696.000	9012.000	9238.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	8	1	1	1	3000	2	3	1	5	4	1	4	2	3	5	1	4	3	5	23154142351435	0	5000	6212.000	700.000	0	2	3	1	5	4	1	4	2	3	5	1	4	3	5	5704.000	6220.000	6652.000	7084.000	7686.000	8128.000	8596.000	9028.000	9406.000	9814.000	10250.000	10686.000	11300.000	11786.000	800.000	1100.000	1500.000	6000.000	1	1.000	1.000	1.000	1.000	1.000	15000	
1	9	1	3	1	3000	3	5	1	4	2	5	1	3	4	2	4	3	1	5	35142513424315	0	5000	4396.000	484.000	1	3	5	4	4	2	5	1	3	4	2	4	3	1	5	5488.000	5702.000	6204.000	6920.000	7170.000	7416.000	7696.000	7998.000	8320.000	8792.000	9058.000	9298.000	9550.000	9762.000	800.000	1100.000	1500.000	6000.000	0	1.000	1.000	1.000	1.000	1.000	15000	
1	10	1	8	1	3000	3	1	4	5	2	4	5	2	3	1	4	5	3	1	31452452314531	0	5000	3882.000	628.000	0	3	1	4	5	2	4	5	2	3	1	4	5	3	1	5632.000	5878.000	6144.000	6418.000	6806.000	7148.000	7394.000	7918.000	8158.000	8444.000	8726.000	8956.000	9186.000	9434.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	11	1	5	1	3000	2	1	4	3	5	2	4	5	3	1	5	1	4	3	21435245315143	0	5000	4540.000	560.000	1	2	1	4	3	5	2	3	5	3	1	5	1	4	3	5564.000	5794.000	6028.000	6248.000	6482.000	6938.000	7248.000	8224.000	8484.000	8836.000	9152.000	9470.000	9776.000	9992.000	800.000	1100.000	1500.000	6000.000	0	1.000	1.000	1.000	1.000	1.000	15000	
1	12	1	4	1	3000	5	3	4	1	2	4	5	3	1	2	4	5	1	2	53412453124512	0	5000	3796.000	722.000	0	5	3	4	1	2	4	5	3	1	2	4	5	1	2	5726.000	5944.000	6198.000	6438.000	6666.000	6962.000	7656.000	7966.000	8230.000	8498.000	8800.000	9032.000	9224.000	9406.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	13	1	6	1	3000	1	4	2	5	3	1	4	3	5	2	4	1	5	3	14253143524153	0	5000	3326.000	618.000	0	1	4	2	5	3	1	4	3	5	2	4	1	5	3	5622.000	5792.000	6132.000	6364.000	6570.000	6810.000	7052.000	7266.000	7474.000	7832.000	8106.000	8442.000	8636.000	8826.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	14	1	2	1	3000	1	4	5	3	2	5	1	2	4	3	5	2	4	3	14532512435243	0	5000	4500.000	880.000	0	1	4	5	3	2	5	1	2	4	3	5	2	4	3	5884.000	6080.000	6536.000	6788.000	7154.000	7408.000	7736.000	8036.000	8646.000	8840.000	9294.000	9646.000	9942.000	10264.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	15	1	7	1	3000	5	4	2	3	1	2	4	5	1	3	4	2	3	1	54231245134231	0	5000	3244.000	610.000	0	5	4	2	3	1	2	4	5	1	3	4	2	3	1	5614.000	5808.000	6032.000	6186.000	6426.000	6620.000	6870.000	7088.000	7284.000	7774.000	8038.000	8390.000	8552.000	8746.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	16	1	1	1	3000	5	1	2	4	3	5	2	3	1	4	3	5	2	1	51243523143521	0	5000	6810.000	542.000	1	5	1	2	3	3	5	2	3	1	4	3	5	2	1	5546.000	5972.000	6502.000	6852.000	7636.000	8064.000	8606.000	9086.000	9502.000	9986.000	10678.000	11242.000	11790.000	12214.000	800.000	1100.000	1500.000	6000.000	0	1.000	1.000	1.000	1.000	1.000	15000	
1	17	1	6	1	3000	4	2	1	3	5	3	4	2	1	5	2	4	3	5	42135342152435	0	5000	3444.000	592.000	0	4	2	1	3	5	3	4	2	1	5	2	4	3	5	5596.000	5844.000	6062.000	6258.000	6504.000	6760.000	7048.000	7342.000	7532.000	7782.000	8232.000	8540.000	8756.000	8946.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	18	1	1	1	3000	1	4	5	3	2	5	2	1	4	3	1	3	4	2	14532521431342	0	5000	6106.000	510.000	0	1	4	5	3	2	5	2	1	4	3	1	3	4	2	5514.000	5976.000	6442.000	6868.000	7320.000	7768.000	8254.000	8702.000	9188.000	9634.000	10152.000	10594.000	11052.000	11528.000	800.000	1100.000	1500.000	6000.000	1	1.000	1.000	1.000	1.000	1.000	15000	
